,2a,7a,9a,10a,19a,22a,23a,33b,35a,43a,43b,47a,47b,49b,59b,65a,67a,67c,82a,85a,85b,85f,88a,98a
ammonium hydroxide,1e-05,1e-05,0.00026392829641957565,1.2230964782912933e-05,1e-05,6.170109591827987e-05,1e-05,1e-05,1e-05,1e-05,1e-05,6.170109591827987e-05,1e-05,1e-05,1e-05,1e-05,6.0581530345382e-05,6.0581530345382e-05,1e-05,1e-05,5.287896297373533e-05,0.0001426571550392635,1e-05,0.00013034310119274618
putrescine,1e-05,1e-05,0.0001859478527171598,1e-05,1e-05,6.0581530345382e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,3.131537390947473e-05,1e-05,1e-05,0.00013034310119274618,4.9871758087295355e-05,1e-05,6.170109591827987e-05
cadaverine,1e-05,1e-05,0.00013034310119274618,1e-05,1e-05,6.170109591827987e-05,1e-05,1e-05,3.131537390947473e-05,1e-05,3.9563737064795435e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,9.834532259575764e-05,1e-05,1e-05,0.0001859478527171598,0.00012167578188687022,1e-05,0.00012071389136115335
g-butyrolactone,1e-05,0.0002471034972826896,0.0005013235643524215,1e-05,1e-05,0.0003912494132485912,1e-05,1e-05,0.0008829417974956467,1e-05,0.00012071389136115335,1e-05,1e-05,1e-05,7.508741614385087e-05,1e-05,0.0019392870650751049,0.0001537581858707694,1e-05,1e-05,0.0003912494132485912,0.0002012783359190799,1e-05,0.0001859478527171598
g-hexalactone,4.9871758087295355e-05,1e-05,0.0017919205520493585,8.607698236551465e-05,1e-05,0.0026222300679931633,2.3692403420420648e-05,0.00015262815506724117,0.004003593074086269,1e-05,0.00021423320921828588,0.00015262815506724117,1e-05,1e-05,9.834532259575764e-05,9.69067811086846e-05,0.0003912494132485912,0.00038719593995605294,1e-05,1e-05,0.00047968784924320074,0.0005632376489548692,1e-05,0.00013034310119274618
g-octalactone,1e-05,1e-05,0.0001859478527171598,8.607698236551465e-05,1e-05,0.0003476929055633268,1e-05,1.0341465315171297e-05,0.0002771222591195098,1e-05,0.0001859478527171598,8.607698236551465e-05,1e-05,1e-05,1e-05,9.834532259575764e-05,0.00013353091342835986,0.00012119483662401179,0.000109976302933412,1e-05,0.0043491273595557736,0.0002809723367106274,1e-05,0.0013266465278371357
g-decalactone,1e-05,1e-05,1e-05,1e-05,1e-05,9.834532259575764e-05,1e-05,6.170109591827987e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,3.7910761962038456e-05,1e-05,1e-05,1e-05
d-decalactone,1e-05,1e-05,1e-05,1e-05,1e-05,5.287896297373533e-05,1e-05,5.287896297373533e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.00013034310119274618,1e-05,1e-05,1e-05
methanoic acid,1e-05,1e-05,6.170109591827987e-05,0.00020284463258896283,1e-05,0.00027891120829320247,1e-05,1e-05,1e-05,1e-05,1.0341465315171297e-05,1e-05,1e-05,1e-05,0.0001618314827427658,1e-05,1e-05,7.508741614385087e-05,1e-05,1e-05,3.9563737064795435e-05,3.9563737064795435e-05,1e-05,1e-05
acetic acid,1e-05,1e-05,3.131537390947473e-05,8.607698236551465e-05,1e-05,0.0002771222591195098,1e-05,1e-05,1e-05,1e-05,3.131537390947473e-05,1e-05,1e-05,1e-05,0.00016136337660656753,1e-05,1e-05,3.131537390947473e-05,1.1052675314688178e-05,1e-05,0.0001618314827427658,7.943681914895371e-05,1e-05,8.991207340042926e-05
propionic acid,1e-05,1e-05,0.00012575058585997132,0.0002862069201125767,1e-05,0.0003085954973011161,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.00016136337660656753,1e-05,0.0003955003178169639,0.00013654915127379638,1e-05,1e-05,0.0003085954973011161,0.00012119483662401179,1e-05,2.0479339060820288e-05
